name,credit_card,amount
Anthony,4242424242424242,81600
Cayla,4000000000000001,23200
Bren,4242424242424242,38000
Augustine,4000000000000001,20600
Marylin,4242424242424242,74600
Larisa,4000000000000001,49900
เทสซ่า,4242424242424242,43400
Ailey,4000000000000001,93000
Matthaeus,4242424242424242,39600
Toddy,5555444433331111,43200
Germayne,4242424242424242,25800
Aubree,5555444433331111,87100
Rockey,4242424242424242,62500
Jeannine,5555444433331111,40900
Dena ,4242424242424242,8300
Farlee	,4111111111111111,81900
Dionis　,4242424242424242,93500
Monkey D. Luffy,4111111111111111,56600
Pravin Arantzazu,4242424242424242,27500
Silas,4242 4242 4242 4242,65100
Marysia	Tariku,4242424242424242,42400
Kellsie,4242 4242 4242 4242,59700
Jilli,4242424242424242,13700
Vittorio,4242 4242 4242 4242,16500
Laure,4242424242424242,21
Godwin,4242 4242 4242 4242,2101
Weston,4111 1111 1111 1111,1999
Audie,4242424242424242,2
Edy,4242424242424242,1
